Clr,Dedr,Age,Brt,Dwt,Value,HP,Year,Code1
410188,135345,32,20633,29272,19335000,9600,2001,1
171390,96675,40,6730,7450,3867000,1850,2001,1
159255,128455,22,22706,35100,19335000,10700,2002,1
318883,135345,43,18531,28591,3867000,8750,2002,1
288342,119352,12,6398,8734,15375788,3800,1997,1
160205,119352,11,7556,11339,16960269,3798,1997,1
350819,119352,13,6398,8734,15375788,3800,1998,1
490324,119352,12,7556,11339,16960269,3798,1998,1
635781,58708,16,6389,8721,15376434,3510,2000,1
326007,58708,15,6389,8709,15375788,3510,2000,1
209159,45160,17,45051,75466,33547644,14860,2000,1
658931,45160,17,45051,75466,33547644,14860,2000,1
167017,45160,17,45051,75466,33547644,14860,2000,1
168091,45160,5,36615,69045,14806124,10500,2000,1
625793,45160,4,155061,322398,41553918,29450,2001,1
3452020,45160,4,155061,322398,41553918,29450,2001,1
106857,45160,4,155061,322398,41553918,29450,2001,1
107320,45160,4,155061,322398,41553918,29450,2001,1
677404,96772,4,155061,322398,41553918,29450,2001,1
3503632,96772,4,155061,322398,41553918,29450,2001,1
155541,96772,4,155061,322398,41553918,29450,2001,1
677404,96772,4,155061,322398,41553918,29450,2001,1
3433307,96772,4,155061,322398,41553918,29450,2001,1
140409,96772,4,155061,322398,41553918,29450,2001,1
104956,45160,6,36615,69045,14806124,10500,2001,1
111412,51612,6,36615,69045,14806124,10500,2001,1
111407,51612,6,36615,69045,14806124,10500,2001,1
158932,96772,4,155061,322398,57159540,29450,2001,1
136201,63090,22,7114,1849,5804280,4500,2001,2
300093,126180,3,11591,4442,34068600,13378,2001,2
307067,69904,11,6419,6830,10599120,9049,2002,2
197927,50000,17,6398,8909,15376295,3800,2002,1
245815,50000,17,6389,8709,15376295,3510,2002,1
182489,50000,17,6389,8709,15376295,3510,2002,1
302424,50000,20,6944,10110,13498736,4600,2002,1
301016,37450,17,3329,4127,3873726,3019,2002,2
232094,75000,4,4115,5184,9084960,5384,2002,2
614181,126180,8,36615,69045,17034300,10500,2003,1
1072530,126180,7,36615,70165,16403400,10500,2003,1
883260,126180,20,45051,75466,8075520,14860,2003,1
101449,69904,2,23132,30537,30914100,21460,2003,2
200018,69904,12,6420,6817,10599120,9049,2003,2
189270,75708,5,4115,5199,9084960,5384,2003,2
702792,74900,19,2119,1778,2996000,3005,1998,2
208491,74900,19,2119,1778,2996000,3005,1998,2
722490,29960,2,4200,6254,8988000,3589,2000,1
186822,74900,22,1262,1150,2756320,1125,2000,2
84347,44940,22,16788,17190,13482000,9300,2000,1
577289,74900,22,2119,1778,2996000,3005,2001,2
627441,187250,18,2065,1478,3595200,2000,1998,2
627441,187250,18,2065,1478,3595200,2000,1998,2
417368,187250,20,2195,1900,3595200,1960,1998,2
417368,187250,20,2195,1900,3595200,1960,1998,2
139615,37450,17,3432,6157,6995660,4400,1998,2
96161,37450,17,3432,6157,6995660,4400,1998,2
85965,29960,2,3500,4250,8988000,2828,1999,1
317060,29960,2,3500,4250,8988000,2828,1999,1
162620,29960,2,3500,4250,8988000,2828,1999,1
109094,37450,19,4101,6157,6995660,4400,2000,1
270813,187250,15,4876,4525,13182400,4076,2001,2
270813,187250,15,4876,4525,13182400,4076,2001,2
224446,187250,19,7307,5500,11984000,5800,2001,2
224446,187250,19,7307,5500,11984000,5800,2001,2
2890332,37450,12,4471,3728,14980000,3000,2001,2
166713,37450,20,4101,6157,6995660,4400,2001,1
181247,44940,26,2602,3092,1198400,2400,2002,2
316334,44940,23,2062,2525,1198400,2200,2002,2
69706,37450,21,4101,6157,6995660,4400,2002,1
309372,34745,22,7454,9060,14829273,6000,2000,1
581529,500000,20,25268,38747,10750000,13100,1997,2
579734,500000,23,24787,38325,7000000,13100,1997,2
631630,500000,23,21117,39082,7000000,13100,1997,2
429800,250000,2,33364,44236,34000000,15600,1997,2
1813226,150000,20,26066,45065,8000000,15200,1997,1
256906,150000,18,24030,44016,10000000,15200,1997,1
285312,200000,20,11903,17161,7500000,12000,1997,2
108983,50000,12,3398,2979,6850000,4080,1997,2
322480,50000,12,3399,2900,6850000,4080,1997,2
96012,50000,18,3624,4348,1800000,3180,1997,2
378659,50000,18,3624,4348,1800000,3180,1997,2
86079,50000,21,2688,1284,2000000,3600,1997,2
80340,50000,21,2688,1284,2000000,3600,1997,2
91000,50000,14,1072,1525,2750000,2400,1997,2
373986,50000,14,1072,1525,2750000,2400,1997,2
212356,100000,5,41189,74928,45340000,9850,1997,1
245266,100000,4,41189,74868,44680000,10900,1997,1
215000,65000,6,75675,150108,30000000,14199,1997,1
644653,500000,24,128760,244677,20000000,32999,1997,1
108680,60000,14,3960,5220,6100000,5500,1997,2
269975,100000,12,19510,29152,15000000,6600,1997,1
227420,100000,14,5829,10110,11600000,4600,1997,1
108025,75000,16,9435,15721,3400000,6150,1997,2
2115162,100000,16,37323,62180,6000000,16880,1997,1
161857,125000,11,48676,15577,31700000,16110,1997,2
533017,150000,13,37168,60550,27050000,11900,1997,1
207291,100000,13,22009,37696,8334000,6936,1997,1
797993,150000,13,35904,65402,27050000,15200,1997,1
1270971,175000,5,91642,165239,22750000,16314,1997,1
111050,75000,6,7239,9157,12000000,10876,1997,2
860214,500000,17,26191,38695,14750000,12000,1998,2
1128085,500000,17,26191,38695,14750000,12000,1998,2
1569982,500000,20,25552,38542,12550000,13100,1998,2
741473,500000,24,21005,38635,7000000,13100,1998,2
243859,150000,17,45777,78532,10000000,15400,1998,1
512850,150000,17,12783,12961,12000000,11200,1998,2
309409,150000,17,12783,12961,12000000,11200,1998,2
130074,100000,17,3875,6174,6000000,4400,1998,1
244082,100000,17,3875,6174,6000000,4400,1998,1
391900,350000,13,25345,40790,19670000,10030,1998,2
671034,150000,12,17814,29531,12000000,9500,1998,1
467985,100000,5,45593,83155,36000000,10900,1998,1
