Time,Dedr,Age,Brt,Dwt,Value,HP,Year,Code1,Claims
1,142709,2,15000,21250,70528290,11073,1998,1,0
1,41311,7,2700,3300,15622880,1824,2002,1,0
0.64,175162,11,86374,147327,27369125,19200,1997,1,0
0.36,175162,11,86374,147327,20494001,19200,1997,1,0
0.68,175162,12,86374,147327,20494001,19200,1998,1,0
0.32,175162,12,86374,147327,20494001,19200,1998,1,0
0.25,175162,13,86374,147327,20494001,19200,1999,1,0
0.75,175162,13,86374,147327,18720482,19200,1999,1,0
0.53,135345,16,24300,38200,19335000,13230,2001,1,0
0.53,135345,17,22746,36920,19335000,13230,2001,1,0
0.53,135345,21,22706,35100,19335000,10700,2001,1,1
0.53,135345,38,20645,29283,19335000,8999,2001,1,0
0.53,135345,24,22674,33084,19335000,9000,2001,1,0
0.53,135345,24,22772,33309,19335000,9000,2001,1,0
0.53,135345,28,23989,35439,19335000,9000,2001,1,0
0.53,135345,29,23983,34938,19335000,9000,2001,1,0
0.53,135345,32,20633,29272,19335000,9600,2001,1,1
0.53,135345,35,19291,28236,19335000,8000,2001,1,0
0.53,135345,33,17808,26326,19335000,9600,2001,1,0
0.53,135345,35,33792,56887,11601000,15000,2001,1,0
0.53,96675,40,6730,7450,3867000,1850,2001,1,1
0.48,96675,41,17070,26214,3867000,9349,2001,1,0
0.48,96675,47,15500,23623,3867000,8499,2001,1,0
1,128455,17,24300,38200,19335000,13230,2002,1,0
1,128455,18,22746,36920,19335000,13230,2002,1,0
1,128455,22,22706,35100,19335000,10700,2002,1,1
1,135345,39,20645,29283,19335000,8999,2002,1,0
1,135345,25,22674,33084,19335000,9000,2002,1,0
1,135345,25,22772,33309,19335000,9000,2002,1,0
1,135345,29,23989,35439,19335000,9000,2002,1,0
1,135345,30,23983,34938,19335000,9000,2002,1,0
1,135345,33,20633,29272,19335000,9600,2002,1,0
0.14,135345,36,19291,28236,19335000,8000,2002,1,0
1,135345,34,17808,26326,19335000,9600,2002,1,0
1,135345,36,33792,56887,11601000,15000,2002,1,0
1,96675,41,6730,7450,3867000,1850,2002,1,0
1,135345,42,17070,26214,3867000,9349,2002,1,0
1,135345,48,15500,23623,3867000,8499,2002,1,0
0.79,135345,43,18531,28591,3867000,8750,2002,1,1
0.79,135345,35,10902,17893,3867000,5332,2002,1,0
0.79,135345,17,20370,32713,7734000,8158,2002,1,0
1.25,386700,40,20646,30100,19335000,8999,2003,1,0
1.25,386700,35,17808,27500,19335000,9600,2003,1,0
1.25,386700,34,20634,29700,19335000,9600,2003,1,0
1.25,386700,31,23983,34938,19335000,9000,2003,1,0
1.25,386700,30,23989,35439,19335000,9000,2003,1,0
1.25,386700,26,24024,36674,19335000,9000,2003,1,0
1.25,386700,26,22772,33000,19335000,9000,2003,1,0
1.25,256909,23,22706,35100,19335000,10700,2003,1,0
1.25,256909,19,22746,36920,19335000,13230,2003,1,0
1.25,256909,18,24300,38200,19335000,13230,2003,1,0
1.25,386700,37,33792,56887,11601000,15000,2003,1,0
1.25,386700,18,20370,32713,7734000,8158,2003,1,0
0.55,386700,43,17070,26214,3867000,9349,2003,1,0
0.55,386700,49,15500,23623,3867000,8499,2003,1,0
1.25,96675,42,6730,7450,3867000,1850,2003,1,0
1.25,386700,44,18531,28591,3867000,8750,2003,1,0
0.96,386700,36,10902,17893,3867000,5332,2003,1,0
1.25,513819,20,22388,35315,7734000,10880,2003,1,0
1.15,386700,20,22388,36248,7734000,10880,2003,1,0
0.81,80643,0,155000,317700,41553918,29450,1997,1,0
1,99999,8,5753,7639,16128675,2712,1997,2,0
1,119352,12,6389,8709,15375788,3510,1997,1,0
1,119352,15,6793,10110,10508154,4600,1997,1,0
1,119352,14,5829,10110,13498411,4600,1997,1,0
1,119352,13,6389,8721,15376434,3510,1997,1,0
1,119352,12,6398,8734,15375788,3800,1997,1,1
1,119352,11,7556,11339,16960269,3798,1997,1,1
1,99999,1,4464,4600,3225735,6118,1997,2,0
1,99999,1,7361,7225,1290294,9027,1997,2,0
1,99999,4,7361,9410,1290294,9027,1997,2,0
1,119352,13,6389,8709,15375788,3510,1998,1,0
1,119352,16,6793,10110,10508154,4600,1998,1,0
1,119352,15,5829,10110,13498411,4600,1998,1,0
1,119352,14,6389,8721,15376434,3510,1998,1,0
1,119352,13,6398,8734,15375788,3800,1998,1,1
